,Date,Spending Power,Price,Quantity,Total,Report
0,2018-12-06,10000.0,43.68,0,10000.0,"Sold all 0, of stock AAPL at 43.68 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
1,2018-12-07,10000.0,42.122501,0,10000.0,"Sold all 0, of stock AAPL at 42.122501 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
2,2018-12-10,10000.0,42.400002,0,10000.0,Sold all 0 of stock AAPL at 42.400002 because it's been falling for 3 consecutive days. New total is 10000.0
3,2018-12-11,10000.0,42.157501,0,10000.0,"Sold all 0, of stock AAPL at 42.157501 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
4,2018-12-12,10000.0,42.275002,0,10000.0,"Sold all 0, of stock AAPL at 42.275002 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
5,2018-12-13,10000.0,42.737499,0,10000.0,"Sold all 0, of stock AAPL at 42.737499 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
6,2018-12-14,10000.0,41.369999,0,10000.0,"Sold all 0, of stock AAPL at 41.369999 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
7,2018-12-17,10000.0,40.985001,0,10000.0,"Sold all 0, of stock AAPL at 40.985001 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
8,2018-12-18,10000.0,41.517502,0,10000.0,"Sold all 0, of stock AAPL at 41.517502 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
9,2018-12-19,10000.0,40.2225,0,10000.0,"Sold all 0, of stock AAPL at 40.2225 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
10,2018-12-20,10000.0,39.2075,0,10000.0,"Sold all 0, of stock AAPL at 39.2075 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
11,2018-12-21,10000.0,37.682499,0,10000.0,"Sold all 0, of stock AAPL at 37.682499 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
12,2018-12-24,10000.0,36.7075,0,10000.0,Sold all 0 of stock AAPL at 36.7075 because it's been falling for 3 consecutive days. New total is 10000.0
13,2018-12-26,10000.0,39.2925,0,10000.0,Sold all 0 of stock AAPL at 39.2925 because it's been falling for 3 consecutive days. New total is 10000.0
14,2018-12-27,10000.0,39.037498,0,10000.0,"Sold all 0, of stock AAPL at 39.037498 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
15,2018-12-28,10000.0,39.057499,0,10000.0,"Sold all 0, of stock AAPL at 39.057499 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
16,2018-12-31,10000.0,39.435001,0,10000.0,"Sold all 0, of stock AAPL at 39.435001 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
17,2019-01-02,10000.0,39.48,0,10000.0,"Sold all 0, of stock AAPL at 39.48 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
18,2019-01-03,11.152219000001423,35.547501,281,10000.0,Bought 281 of AAPL for 35.547501 because it's been growing for the past 3 days. New total is 10000.0
19,2019-01-04,10426.416938000002,37.064999,0,10426.416938000002,"Sold all 0, of stock AAPL at 37.064999 because it's platued for the past 3 days, but it has a poor recent history. New total is 10426.416938000002"
20,2019-01-07,10426.416938000002,36.982498,0,10426.416938000002,"Sold all 0, of stock AAPL at 36.982498 because it's platued for the past 3 days, but it has a poor recent history. New total is 10426.416938000002"
21,2019-01-08,10426.416938000002,37.6875,0,10426.416938000002,"Sold all 0, of stock AAPL at 37.6875 because it's platued for the past 3 days, but it has a poor recent history. New total is 10426.416938000002"
22,2019-01-09,10426.416938000002,38.327499,0,10426.416938000002,"Sold all 0, of stock AAPL at 38.327499 because it's platued for the past 3 days, but it has a poor recent history. New total is 10426.416938000002"
23,2019-01-10,10426.416938000002,38.450001,0,10426.416938000002,"Sold all 0, of stock AAPL at 38.450001 because it's platued for the past 3 days, but it has a poor recent history. New total is 10426.416938000002"
24,2019-01-11,32.62498400000186,38.072498,273,10426.416938000002,Bought 273 of AAPL for 38.072498 because it's been growing for the past 3 days. New total is 10426.416938000002
25,2019-01-14,10270.124984000002,37.5,0,10270.124984000002,"Sold all 0, of stock AAPL at 37.5 because it's platued for the past 3 days, but it has a poor recent history. New total is 10270.124984000002"
