,Date,Spending Power,Price,Quantity,Total,Report
0,2018-12-06,10000.0,250.630005,0,10000.0,"Sold half, 0, of stock ADBE at 250.630005 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
1,2018-12-07,10000.0,238.0,0,10000.0,"Sold half, 0, of stock ADBE at 238.0 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
2,2018-12-10,10000.0,244.089996,0,10000.0,"Sold half, 0, of stock ADBE at 244.089996 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
3,2018-12-11,10000.0,245.339996,0,10000.0,"Sold half, 0, of stock ADBE at 245.339996 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
4,2018-12-12,10000.0,245.550003,0,10000.0,"Sold half, 0, of stock ADBE at 245.550003 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
5,2018-12-13,76.79991999999947,248.080002,40,10000.0,Bought 40 of ADBE for 248.080002 because it's been growing for the past 3 days. New total is 10000.0
6,2018-12-14,76.79991999999947,230.0,40,9276.79992,Bought 0 of ADBE for 230.0 because it's been growing for the past 3 days. New total is 9276.79992
7,2018-12-17,8932.00012,221.380005,0,8932.00012,"Sold all 0, of stock ADBE at 221.380005 because it's platued for the past 3 days, but it has a poor recent history. New total is 8932.00012"
8,2018-12-18,8932.00012,226.179993,0,8932.00012,"Sold half, 0, of stock ADBE at 226.179993 because it's platued for the past 3 days and it has an okay recent history. New total is 8932.00012"
9,2018-12-19,8932.00012,224.649994,0,8932.00012,"Sold half, 0, of stock ADBE at 224.649994 because it's platued for the past 3 days and it has an okay recent history. New total is 8932.00012"
10,2018-12-20,8932.00012,218.649994,0,8932.00012,"Sold all 0, of stock ADBE at 218.649994 because it's platued for the past 3 days, but it has a poor recent history. New total is 8932.00012"
11,2018-12-21,8932.00012,208.800003,0,8932.00012,"Sold all 0, of stock ADBE at 208.800003 because it's platued for the past 3 days, but it has a poor recent history. New total is 8932.00012"
12,2018-12-24,8932.00012,205.160004,0,8932.00012,Sold all 0 of stock ADBE at 205.160004 because it's been falling for 3 consecutive days. New total is 8932.00012
13,2018-12-26,8932.00012,222.949997,0,8932.00012,Sold all 0 of stock ADBE at 222.949997 because it's been falling for 3 consecutive days. New total is 8932.00012
14,2018-12-27,8932.00012,225.139999,0,8932.00012,"Sold all 0, of stock ADBE at 225.139999 because it's platued for the past 3 days, but it has a poor recent history. New total is 8932.00012"
15,2018-12-28,8932.00012,223.130005,0,8932.00012,"Sold all 0, of stock ADBE at 223.130005 because it's platued for the past 3 days, but it has a poor recent history. New total is 8932.00012"
16,2018-12-31,8932.00012,226.240005,0,8932.00012,"Sold all 0, of stock ADBE at 226.240005 because it's platued for the past 3 days, but it has a poor recent history. New total is 8932.00012"
17,2019-01-02,8932.00012,224.570007,0,8932.00012,"Sold all 0, of stock ADBE at 224.570007 because it's platued for the past 3 days, but it has a poor recent history. New total is 8932.00012"
18,2019-01-03,8932.00012,215.699997,0,8932.00012,"Sold all 0, of stock ADBE at 215.699997 because it's platued for the past 3 days, but it has a poor recent history. New total is 8932.00012"
19,2019-01-04,8932.00012,226.190002,0,8932.00012,"Sold all 0, of stock ADBE at 226.190002 because it's platued for the past 3 days, but it has a poor recent history. New total is 8932.00012"
20,2019-01-07,8932.00012,229.259995,0,8932.00012,"Sold half, 0, of stock ADBE at 229.259995 because it's platued for the past 3 days and it has an okay recent history. New total is 8932.00012"
21,2019-01-08,8932.00012,232.679993,0,8932.00012,"Sold half, 0, of stock ADBE at 232.679993 because it's platued for the past 3 days and it has an okay recent history. New total is 8932.00012"
22,2019-01-09,221.09037900000112,235.429993,37,8932.00012,Bought 37 of ADBE for 235.429993 because it's been growing for the past 3 days. New total is 8932.00012
23,2019-01-10,221.09037900000112,237.770004,37,9018.580527000002,Bought 0 of ADBE for 237.770004 because it's been growing for the past 3 days. New total is 9018.580527000002
24,2019-01-11,221.09037900000112,237.550003,37,9010.44049,Bought 0 of ADBE for 237.550003 because it's been growing for the past 3 days. New total is 9010.44049
25,2019-01-14,4677.730341000001,234.559998,19,8899.810305000003,"Sold half, 18, of stock ADBE at 234.559998 because it's platued for the past 3 days and it has an okay recent history. New total is 8899.810305000003"
26,2019-01-15,7101.330351000001,242.360001,10,9282.570360000002,"Sold half, 9, of stock ADBE at 242.360001 because it's platued for the past 3 days and it has an okay recent history. New total is 9282.570360000002"
27,2019-01-16,8311.080336,241.949997,5,9520.830321000001,"Sold half, 5, of stock ADBE at 241.949997 because it's platued for the past 3 days and it has an okay recent history. New total is 9520.830321000001"
28,2019-01-17,9044.280318000001,244.399994,3,9533.080306000002,"Sold half, 2, of stock ADBE at 244.399994 because it's platued for the past 3 days and it has an okay recent history. New total is 9533.080306000002"
29,2019-01-18,9539.300308000002,247.509995,2,9786.810303000002,"Sold half, 1, of stock ADBE at 247.509995 because it's platued for the past 3 days and it has an okay recent history. New total is 9786.810303000002"
30,2019-01-22,9783.150314000002,243.850006,1,10027.000320000003,"Sold half, 1, of stock ADBE at 243.850006 because it's platued for the past 3 days and it has an okay recent history. New total is 10027.000320000003"
31,2019-01-23,10028.290313000001,245.139999,0,10028.290313000001,"Sold half, 0, of stock ADBE at 245.139999 because it's platued for the past 3 days and it has an okay recent history. New total is 10028.290313000001"
32,2019-01-24,10028.290313000001,242.559998,0,10028.290313000001,"Sold half, 0, of stock ADBE at 242.559998 because it's platued for the past 3 days and it has an okay recent history. New total is 10028.290313000001"
33,2019-01-25,10028.290313000001,244.949997,0,10028.290313000001,"Sold half, 0, of stock ADBE at 244.949997 because it's platued for the past 3 days and it has an okay recent history. New total is 10028.290313000001"
34,2019-01-28,10028.290313000001,241.850006,0,10028.290313000001,"Sold half, 0, of stock ADBE at 241.850006 because it's platued for the past 3 days and it has an okay recent history. New total is 10028.290313000001"
35,2019-01-29,10028.290313000001,238.270004,0,10028.290313000001,"Sold half, 0, of stock ADBE at 238.270004 because it's platued for the past 3 days and it has an okay recent history. New total is 10028.290313000001"
36,2019-01-30,10028.290313000001,242.669998,0,10028.290313000001,"Sold half, 0, of stock ADBE at 242.669998 because it's platued for the past 3 days and it has an okay recent history. New total is 10028.290313000001"
37,2019-01-31,10028.290313000001,247.820007,0,10028.290313000001,"Sold half, 0, of stock ADBE at 247.820007 because it's platued for the past 3 days and it has an okay recent history. New total is 10028.290313000001"
38,2019-02-01,10028.290313000001,247.380005,0,10028.290313000001,"Sold half, 0, of stock ADBE at 247.380005 because it's platued for the past 3 days and it has an okay recent history. New total is 10028.290313000001"
