,Date,Spending Power,Price,Quantity,Total,Report
0,2018-12-06,10000.0,1699.189941,0,10000.0,"Sold half, 0, of stock AMZN at 1699.189941 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
1,2018-12-07,10000.0,1629.130005,0,10000.0,"Sold half, 0, of stock AMZN at 1629.130005 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
2,2018-12-10,10000.0,1641.030029,0,10000.0,"Sold half, 0, of stock AMZN at 1641.030029 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
3,2018-12-11,10000.0,1643.23999,0,10000.0,"Sold half, 0, of stock AMZN at 1643.23999 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
4,2018-12-12,10000.0,1663.540039,0,10000.0,"Sold half, 0, of stock AMZN at 1663.540039 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
5,2018-12-13,49.7199700000001,1658.380005,6,10000.0,Bought 6 of AMZN for 1658.380005 because it's been growing for the past 3 days. New total is 10000.0
6,2018-12-14,4825.450072,1591.910034,3,9601.180174,"Sold half, 3, of stock AMZN at 1591.910034 because it's platued for the past 3 days and it has an okay recent history. New total is 9601.180174"
7,2018-12-17,9388.180174,1520.910034,0,9388.180174,"Sold all 0, of stock AMZN at 1520.910034 because it's platued for the past 3 days, but it has a poor recent history. New total is 9388.180174"
8,2018-12-18,9388.180174,1551.47998,0,9388.180174,Sold all 0 of stock AMZN at 1551.47998 because it's been falling for 3 consecutive days. New total is 9388.180174
9,2018-12-19,9388.180174,1495.079956,0,9388.180174,"Sold all 0, of stock AMZN at 1495.079956 because it's platued for the past 3 days, but it has a poor recent history. New total is 9388.180174"
10,2018-12-20,9388.180174,1460.829956,0,9388.180174,"Sold all 0, of stock AMZN at 1460.829956 because it's platued for the past 3 days, but it has a poor recent history. New total is 9388.180174"
11,2018-12-21,9388.180174,1377.449951,0,9388.180174,"Sold all 0, of stock AMZN at 1377.449951 because it's platued for the past 3 days, but it has a poor recent history. New total is 9388.180174"
12,2018-12-24,9388.180174,1343.959961,0,9388.180174,Sold all 0 of stock AMZN at 1343.959961 because it's been falling for 3 consecutive days. New total is 9388.180174
13,2018-12-26,9388.180174,1470.900024,0,9388.180174,Sold all 0 of stock AMZN at 1470.900024 because it's been falling for 3 consecutive days. New total is 9388.180174
14,2018-12-27,9388.180174,1461.640015,0,9388.180174,"Sold all 0, of stock AMZN at 1461.640015 because it's platued for the past 3 days, but it has a poor recent history. New total is 9388.180174"
15,2018-12-28,9388.180174,1478.02002,0,9388.180174,"Sold all 0, of stock AMZN at 1478.02002 because it's platued for the past 3 days, but it has a poor recent history. New total is 9388.180174"
16,2018-12-31,9388.180174,1501.969971,0,9388.180174,"Sold all 0, of stock AMZN at 1501.969971 because it's platued for the past 3 days, but it has a poor recent history. New total is 9388.180174"
17,2019-01-02,9388.180174,1539.130005,0,9388.180174,"Sold all 0, of stock AMZN at 1539.130005 because it's platued for the past 3 days, but it has a poor recent history. New total is 9388.180174"
18,2019-01-03,386.4999999999982,1500.280029,6,9388.180174,Bought 6 of AMZN for 1500.280029 because it's been growing for the past 3 days. New total is 9388.180174
19,2019-01-04,9838.840089999998,1575.390015,0,9838.840089999998,"Sold all 0, of stock AMZN at 1575.390015 because it's platued for the past 3 days, but it has a poor recent history. New total is 9838.840089999998"
20,2019-01-07,9838.840089999998,1629.51001,0,9838.840089999998,"Sold half, 0, of stock AMZN at 1629.51001 because it's platued for the past 3 days and it has an okay recent history. New total is 9838.840089999998"
21,2019-01-08,9838.840089999998,1656.579956,0,9838.840089999998,"Sold half, 0, of stock AMZN at 1656.579956 because it's platued for the past 3 days and it has an okay recent history. New total is 9838.840089999998"
22,2019-01-09,1541.7398699999976,1659.420044,5,9838.840089999998,Bought 5 of AMZN for 1659.420044 because it's been growing for the past 3 days. New total is 9838.840089999998
23,2019-01-10,1541.7398699999976,1656.219971,5,9822.839724999998,Bought 0 of AMZN for 1656.219971 because it's been growing for the past 3 days. New total is 9822.839724999998
24,2019-01-11,6463.420046999998,1640.560059,3,9744.540164999999,"Sold half, 2, of stock AMZN at 1640.560059 because it's platued for the past 3 days and it has an okay recent history. New total is 9744.540164999999"
25,2019-01-14,9697.839968999997,1617.209961,2,11315.049929999997,"Sold half, 1, of stock AMZN at 1617.209961 because it's platued for the past 3 days and it has an okay recent history. New total is 11315.049929999997"
26,2019-01-15,13046.960086999996,1674.560059,0,13046.960086999996,Sold all 2 of stock AMZN at 1674.560059 because it's been falling for 3 consecutive days. New total is 13046.960086999996
27,2019-01-16,13046.960086999996,1683.780029,0,13046.960086999996,"Sold half, 0, of stock AMZN at 1683.780029 because it's platued for the past 3 days and it has an okay recent history. New total is 13046.960086999996"
28,2019-01-17,13046.960086999996,1693.219971,0,13046.960086999996,"Sold half, 0, of stock AMZN at 1693.219971 because it's platued for the past 3 days and it has an okay recent history. New total is 13046.960086999996"
29,2019-01-18,1173.560429999996,1696.199951,7,13046.960086999996,Bought 7 of AMZN for 1696.199951 because it's been growing for the past 3 days. New total is 13046.960086999996
30,2019-01-22,1173.560429999996,1632.170044,7,12598.750737999995,Bought 0 of AMZN for 1632.170044 because it's been growing for the past 3 days. New total is 12598.750737999995
31,2019-01-23,7733.640509999996,1640.02002,4,12653.700569999995,"Sold half, 3, of stock AMZN at 1640.02002 because it's platued for the past 3 days and it has an okay recent history. New total is 12653.700569999995"
32,2019-01-24,11043.500617999995,1654.930054,2,14353.360725999995,"Sold half, 2, of stock AMZN at 1654.930054 because it's platued for the past 3 days and it has an okay recent history. New total is 14353.360725999995"
33,2019-01-25,12714.070563999994,1670.569946,1,14384.640509999994,"Sold half, 1, of stock AMZN at 1670.569946 because it's platued for the past 3 days and it has an okay recent history. New total is 14384.640509999994"
34,2019-01-28,1248.8404589999955,1637.890015,8,14351.960578999995,Bought 7 of AMZN for 1637.890015 because it's been growing for the past 3 days. New total is 14351.960578999995
35,2019-01-29,7624.360478999995,1593.880005,4,13999.880498999995,"Sold half, 4, of stock AMZN at 1593.880005 because it's platued for the past 3 days and it has an okay recent history. New total is 13999.880498999995"
36,2019-01-30,10965.220586999996,1670.430054,2,14306.080694999997,"Sold half, 2, of stock AMZN at 1670.430054 because it's platued for the past 3 days and it has an okay recent history. New total is 14306.080694999997"
37,2019-01-31,12683.950566999996,1718.72998,1,14402.680546999996,"Sold half, 1, of stock AMZN at 1718.72998 because it's platued for the past 3 days and it has an okay recent history. New total is 14402.680546999996"
38,2019-02-01,14310.180546999996,1626.22998,0,14310.180546999996,"Sold half, 0, of stock AMZN at 1626.22998 because it's platued for the past 3 days and it has an okay recent history. New total is 14310.180546999996"
39,2019-02-04,14310.180546999996,1633.310059,0,14310.180546999996,"Sold half, 0, of stock AMZN at 1633.310059 because it's platued for the past 3 days and it has an okay recent history. New total is 14310.180546999996"
40,2019-02-05,14310.180546999996,1658.810059,0,14310.180546999996,"Sold half, 0, of stock AMZN at 1658.810059 because it's platued for the past 3 days and it has an okay recent history. New total is 14310.180546999996"
41,2019-02-06,14310.180546999996,1640.26001,0,14310.180546999996,"Sold half, 0, of stock AMZN at 1640.26001 because it's platued for the past 3 days and it has an okay recent history. New total is 14310.180546999996"
42,2019-02-07,14310.180546999996,1614.369995,0,14310.180546999996,"Sold half, 0, of stock AMZN at 1614.369995 because it's platued for the past 3 days and it has an okay recent history. New total is 14310.180546999996"
43,2019-02-08,14310.180546999996,1588.219971,0,14310.180546999996,"Sold all 0, of stock AMZN at 1588.219971 because it's platued for the past 3 days, but it has a poor recent history. New total is 14310.180546999996"
44,2019-02-11,14310.180546999996,1591.0,0,14310.180546999996,Sold all 0 of stock AMZN at 1591.0 because it's been falling for 3 consecutive days. New total is 14310.180546999996
45,2019-02-12,14310.180546999996,1638.01001,0,14310.180546999996,"Sold half, 0, of stock AMZN at 1638.01001 because it's platued for the past 3 days and it has an okay recent history. New total is 14310.180546999996"
46,2019-02-13,14310.180546999996,1640.0,0,14310.180546999996,"Sold all 0, of stock AMZN at 1640.0 because it's platued for the past 3 days, but it has a poor recent history. New total is 14310.180546999996"
47,2019-02-14,1328.980354999996,1622.650024,8,14310.180546999996,Bought 8 of AMZN for 1622.650024 because it's been growing for the past 3 days. New total is 14310.180546999996
48,2019-02-15,14192.579962999996,1607.949951,0,14192.579962999996,"Sold all 0, of stock AMZN at 1607.949951 because it's platued for the past 3 days, but it has a poor recent history. New total is 14192.579962999996"
49,2019-02-19,14192.579962999996,1627.579956,0,14192.579962999996,"Sold all 0, of stock AMZN at 1627.579956 because it's platued for the past 3 days, but it has a poor recent history. New total is 14192.579962999996"
50,2019-02-20,14192.579962999996,1622.099976,0,14192.579962999996,"Sold all 0, of stock AMZN at 1622.099976 because it's platued for the past 3 days, but it has a poor recent history. New total is 14192.579962999996"
51,2019-02-21,14192.579962999996,1619.439941,0,14192.579962999996,"Sold all 0, of stock AMZN at 1619.439941 because it's platued for the past 3 days, but it has a poor recent history. New total is 14192.579962999996"
52,2019-02-22,14192.579962999996,1631.560059,0,14192.579962999996,"Sold half, 0, of stock AMZN at 1631.560059 because it's platued for the past 3 days and it has an okay recent history. New total is 14192.579962999996"
53,2019-02-25,14192.579962999996,1633.0,0,14192.579962999996,"Sold half, 0, of stock AMZN at 1633.0 because it's platued for the past 3 days and it has an okay recent history. New total is 14192.579962999996"
54,2019-02-26,14192.579962999996,1636.400024,0,14192.579962999996,"Sold half, 0, of stock AMZN at 1636.400024 because it's platued for the past 3 days and it has an okay recent history. New total is 14192.579962999996"
55,2019-02-27,1063.8602349999965,1641.089966,8,14192.579962999996,Bought 8 of AMZN for 1641.089966 because it's been growing for the past 3 days. New total is 14192.579962999996
56,2019-02-28,1063.8602349999965,1639.829956,8,14182.499882999997,Bought 0 of AMZN for 1639.829956 because it's been growing for the past 3 days. New total is 14182.499882999997
57,2019-03-01,7750.780154999997,1671.72998,4,14437.700074999997,"Sold half, 4, of stock AMZN at 1671.72998 because it's platued for the past 3 days and it has an okay recent history. New total is 14437.700074999997"
