,Date,Spending Power,Price,Quantity,Total,Report
0,2018-12-06,10000.0,227.240005,0,10000.0,"Sold all 0, of stock AVGO at 227.240005 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
1,2018-12-07,10000.0,228.559998,0,10000.0,"Sold all 0, of stock AVGO at 228.559998 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
2,2018-12-10,10000.0,239.25,0,10000.0,"Sold all 0, of stock AVGO at 239.25 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
3,2018-12-11,10000.0,246.839996,0,10000.0,"Sold all 0, of stock AVGO at 246.839996 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
4,2018-12-12,55.780156000000716,254.979996,39,10000.0,Bought 39 of AVGO for 254.979996 because it's been growing for the past 3 days. New total is 10000.0
5,2018-12-13,55.780156000000716,258.299988,39,10129.479688,Bought 0 of AVGO for 258.299988 because it's been growing for the past 3 days. New total is 10129.479688
6,2018-12-14,55.780156000000716,254.830002,39,9994.150234,Bought 0 of AVGO for 254.830002 because it's been growing for the past 3 days. New total is 9994.150234
7,2018-12-17,5138.380256000001,254.130005,20,9966.850351000001,"Sold half, 19, of stock AVGO at 254.130005 because it's platued for the past 3 days and it has an okay recent history. New total is 9966.850351000001"
8,2018-12-18,7635.080236000002,249.669998,10,10131.780216000001,"Sold half, 10, of stock AVGO at 249.669998 because it's platued for the past 3 days and it has an okay recent history. New total is 10131.780216000001"
9,2018-12-19,10073.980226000001,243.889999,0,10073.980226000001,Sold all 10 of stock AVGO at 243.889999 because it's been falling for 3 consecutive days. New total is 10073.980226000001
10,2018-12-20,10073.980226000001,241.889999,0,10073.980226000001,Sold all 0 of stock AVGO at 241.889999 because it's been falling for 3 consecutive days. New total is 10073.980226000001
11,2018-12-21,10073.980226000001,244.910004,0,10073.980226000001,Sold all 0 of stock AVGO at 244.910004 because it's been falling for 3 consecutive days. New total is 10073.980226000001
12,2018-12-24,10073.980226000001,233.800003,0,10073.980226000001,"Sold all 0, of stock AVGO at 233.800003 because it's platued for the past 3 days, but it has a poor recent history. New total is 10073.980226000001"
13,2018-12-26,10073.980226000001,248.139999,0,10073.980226000001,"Sold all 0, of stock AVGO at 248.139999 because it's platued for the past 3 days, but it has a poor recent history. New total is 10073.980226000001"
14,2018-12-27,10073.980226000001,250.850006,0,10073.980226000001,"Sold all 0, of stock AVGO at 250.850006 because it's platued for the past 3 days, but it has a poor recent history. New total is 10073.980226000001"
15,2018-12-28,10073.980226000001,253.589996,0,10073.980226000001,"Sold half, 0, of stock AVGO at 253.589996 because it's platued for the past 3 days and it has an okay recent history. New total is 10073.980226000001"
16,2018-12-31,157.0602650000019,254.279999,39,10073.980226000001,Bought 39 of AVGO for 254.279999 because it's been growing for the past 3 days. New total is 10073.980226000001
17,2019-01-02,157.0602650000019,253.509995,39,10043.950070000003,Bought 0 of AVGO for 253.509995 because it's been growing for the past 3 days. New total is 10043.950070000003
18,2019-01-03,9164.500538000002,230.960007,0,9164.500538000002,"Sold all 0, of stock AVGO at 230.960007 because it's platued for the past 3 days, but it has a poor recent history. New total is 9164.500538000002"
19,2019-01-04,9164.500538000002,233.229996,0,9164.500538000002,"Sold all 0, of stock AVGO at 233.229996 because it's platued for the past 3 days, but it has a poor recent history. New total is 9164.500538000002"
20,2019-01-07,9164.500538000002,237.979996,0,9164.500538000002,"Sold all 0, of stock AVGO at 237.979996 because it's platued for the past 3 days, but it has a poor recent history. New total is 9164.500538000002"
21,2019-01-08,9164.500538000002,236.070007,0,9164.500538000002,"Sold all 0, of stock AVGO at 236.070007 because it's platued for the past 3 days, but it has a poor recent history. New total is 9164.500538000002"
22,2019-01-09,9164.500538000002,246.279999,0,9164.500538000002,"Sold half, 0, of stock AVGO at 246.279999 because it's platued for the past 3 days and it has an okay recent history. New total is 9164.500538000002"
23,2019-01-10,9164.500538000002,249.520004,0,9164.500538000002,"Sold half, 0, of stock AVGO at 249.520004 because it's platued for the past 3 days and it has an okay recent history. New total is 9164.500538000002"
24,2019-01-11,9164.500538000002,250.570007,0,9164.500538000002,"Sold all 0, of stock AVGO at 250.570007 because it's platued for the past 3 days, but it has a poor recent history. New total is 9164.500538000002"
25,2019-01-14,133.18071800000325,250.869995,36,9164.500538000002,Bought 36 of AVGO for 250.869995 because it's been growing for the past 3 days. New total is 9164.500538000002
26,2019-01-15,133.18071800000325,256.48999,36,9366.820358000003,Bought 0 of AVGO for 256.48999 because it's been growing for the past 3 days. New total is 9366.820358000003
27,2019-01-16,133.18071800000325,251.699997,36,9194.380610000004,Bought 0 of AVGO for 251.699997 because it's been growing for the past 3 days. New total is 9194.380610000004
28,2019-01-17,4729.120754000003,255.330002,18,9325.060790000003,"Sold half, 18, of stock AVGO at 255.330002 because it's platued for the past 3 days and it has an okay recent history. New total is 9325.060790000003"
29,2019-01-18,7076.500817000003,260.820007,9,9423.880880000002,"Sold half, 9, of stock AVGO at 260.820007 because it's platued for the past 3 days and it has an okay recent history. New total is 9423.880880000002"
30,2019-01-22,8367.950862000003,258.290009,5,9401.110898000003,"Sold half, 4, of stock AVGO at 258.290009 because it's platued for the past 3 days and it has an okay recent history. New total is 9401.110898000003"
31,2019-01-23,9140.510829000003,257.519989,3,9655.550807000003,"Sold half, 2, of stock AVGO at 257.519989 because it's platued for the past 3 days and it has an okay recent history. New total is 9655.550807000003"
32,2019-01-24,9667.610805000002,263.549988,2,9931.160793000003,"Sold half, 1, of stock AVGO at 263.549988 because it's platued for the past 3 days and it has an okay recent history. New total is 9931.160793000003"
33,2019-01-25,9935.550807000001,267.940002,1,10203.490809,"Sold half, 1, of stock AVGO at 267.940002 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.490809"
34,2019-01-28,10203.170802,267.619995,0,10203.170802,"Sold half, 0, of stock AVGO at 267.619995 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.170802"
35,2019-01-29,10203.170802,266.320007,0,10203.170802,"Sold half, 0, of stock AVGO at 266.320007 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.170802"
36,2019-01-30,10203.170802,270.820007,0,10203.170802,"Sold half, 0, of stock AVGO at 270.820007 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.170802"
37,2019-01-31,10203.170802,268.25,0,10203.170802,"Sold half, 0, of stock AVGO at 268.25 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.170802"
38,2019-02-01,10203.170802,266.809998,0,10203.170802,"Sold half, 0, of stock AVGO at 266.809998 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.170802"
39,2019-02-04,10203.170802,272.119995,0,10203.170802,"Sold half, 0, of stock AVGO at 272.119995 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.170802"
40,2019-02-05,10203.170802,270.0,0,10203.170802,"Sold half, 0, of stock AVGO at 270.0 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.170802"
41,2019-02-06,10203.170802,276.209991,0,10203.170802,"Sold half, 0, of stock AVGO at 276.209991 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.170802"
42,2019-02-07,10203.170802,269.089996,0,10203.170802,"Sold half, 0, of stock AVGO at 269.089996 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.170802"
43,2019-02-08,10203.170802,274.059998,0,10203.170802,"Sold half, 0, of stock AVGO at 274.059998 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.170802"
44,2019-02-11,10203.170802,275.720001,0,10203.170802,"Sold half, 0, of stock AVGO at 275.720001 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.170802"
45,2019-02-12,10203.170802,279.390015,0,10203.170802,"Sold half, 0, of stock AVGO at 279.390015 because it's platued for the past 3 days and it has an okay recent history. New total is 10203.170802"
46,2019-02-13,75.65055000000211,281.320007,36,10203.170802,Bought 36 of AVGO for 281.320007 because it's been growing for the past 3 days. New total is 10203.170802
47,2019-02-14,75.65055000000211,281.5,36,10209.650550000002,Bought 0 of AVGO for 281.5 because it's been growing for the past 3 days. New total is 10209.650550000002
48,2019-02-15,75.65055000000211,281.929993,36,10225.130298000004,Bought 0 of AVGO for 281.929993 because it's been growing for the past 3 days. New total is 10225.130298000004
49,2019-02-19,75.65055000000211,281.660004,36,10215.410694000002,Bought 0 of AVGO for 281.660004 because it's been growing for the past 3 days. New total is 10215.410694000002
50,2019-02-20,5177.210784000002,283.420013,18,10278.771018000001,"Sold half, 18, of stock AVGO at 283.420013 because it's platued for the past 3 days and it has an okay recent history. New total is 10278.771018000001"
51,2019-02-21,7705.6708020000015,280.940002,9,10234.130820000002,"Sold half, 9, of stock AVGO at 280.940002 because it's platued for the past 3 days and it has an okay recent history. New total is 10234.130820000002"
52,2019-02-22,9088.170802,276.5,5,10194.170802,"Sold half, 4, of stock AVGO at 276.5 because it's platued for the past 3 days and it has an okay recent history. New total is 10194.170802"
53,2019-02-25,9923.97082,278.600006,3,10481.170832,"Sold half, 2, of stock AVGO at 278.600006 because it's platued for the past 3 days and it has an okay recent history. New total is 10481.170832"
54,2019-02-26,10473.97082,275.0,2,10748.97082,"Sold half, 1, of stock AVGO at 275.0 because it's platued for the past 3 days and it has an okay recent history. New total is 10748.97082"
55,2019-02-27,10745.46081,271.48999,1,11016.9508,"Sold half, 1, of stock AVGO at 271.48999 because it's platued for the past 3 days and it has an okay recent history. New total is 11016.9508"
56,2019-02-28,11020.820795,275.359985,0,11020.820795,"Sold half, 0, of stock AVGO at 275.359985 because it's platued for the past 3 days and it has an okay recent history. New total is 11020.820795"
57,2019-03-01,11020.820795,272.75,0,11020.820795,"Sold half, 0, of stock AVGO at 272.75 because it's platued for the past 3 days and it has an okay recent history. New total is 11020.820795"
58,2019-03-04,11020.820795,274.890015,0,11020.820795,"Sold half, 0, of stock AVGO at 274.890015 because it's platued for the past 3 days and it has an okay recent history. New total is 11020.820795"
59,2019-03-05,11020.820795,277.01001,0,11020.820795,"Sold half, 0, of stock AVGO at 277.01001 because it's platued for the past 3 days and it has an okay recent history. New total is 11020.820795"
60,2019-03-06,11020.820795,271.350006,0,11020.820795,"Sold half, 0, of stock AVGO at 271.350006 because it's platued for the past 3 days and it has an okay recent history. New total is 11020.820795"
61,2019-03-07,11020.820795,265.51001,0,11020.820795,"Sold half, 0, of stock AVGO at 265.51001 because it's platued for the past 3 days and it has an okay recent history. New total is 11020.820795"
62,2019-03-08,11020.820795,264.190002,0,11020.820795,"Sold half, 0, of stock AVGO at 264.190002 because it's platued for the past 3 days and it has an okay recent history. New total is 11020.820795"
63,2019-03-11,11020.820795,269.059998,0,11020.820795,Sold all 0 of stock AVGO at 269.059998 because it's been falling for 3 consecutive days. New total is 11020.820795
64,2019-03-12,11020.820795,269.630005,0,11020.820795,"Sold half, 0, of stock AVGO at 269.630005 because it's platued for the past 3 days and it has an okay recent history. New total is 11020.820795"
65,2019-03-13,11020.820795,271.209991,0,11020.820795,"Sold half, 0, of stock AVGO at 271.209991 because it's platued for the past 3 days and it has an okay recent history. New total is 11020.820795"
66,2019-03-14,24.620302999999694,268.200012,41,11020.820795,Bought 41 of AVGO for 268.200012 because it's been growing for the past 3 days. New total is 11020.820795
67,2019-03-15,6120.710491999999,290.290009,21,11926.510672,"Sold half, 20, of stock AVGO at 290.290009 because it's platued for the past 3 days and it has an okay recent history. New total is 11926.510672"
68,2019-03-18,9352.950448,293.839996,11,12291.350407999998,"Sold half, 10, of stock AVGO at 293.839996 because it's platued for the past 3 days and it has an okay recent history. New total is 12291.350407999998"
69,2019-03-19,11148.810436,299.309998,6,12645.360426,"Sold half, 5, of stock AVGO at 299.309998 because it's platued for the past 3 days and it has an okay recent history. New total is 12645.360426"
70,2019-03-20,89.67047400000047,291.029999,44,12894.99043,Bought 38 of AVGO for 291.029999 because it's been growing for the past 3 days. New total is 12894.99043
71,2019-03-21,6619.270210000001,296.799988,22,13148.869946,"Sold half, 22, of stock AVGO at 296.799988 because it's platued for the past 3 days and it has an okay recent history. New total is 13148.869946"
72,2019-03-22,9838.420144,292.649994,11,13057.570078,"Sold half, 11, of stock AVGO at 292.649994 because it's platued for the past 3 days and it has an okay recent history. New total is 13057.570078"
73,2019-03-25,11591.380168,292.160004,6,13052.180188,"Sold half, 5, of stock AVGO at 292.160004 because it's platued for the past 3 days and it has an okay recent history. New total is 13052.180188"
74,2019-03-26,12482.470164999999,297.029999,3,13373.560161999998,"Sold half, 3, of stock AVGO at 297.029999 because it's platued for the past 3 days and it has an okay recent history. New total is 13373.560161999998"
75,2019-03-27,13074.410166999998,295.970001,2,13370.380167999998,"Sold half, 1, of stock AVGO at 295.970001 because it's platued for the past 3 days and it has an okay recent history. New total is 13370.380167999998"
76,2019-03-28,13373.480173999998,299.070007,1,13672.550180999999,"Sold half, 1, of stock AVGO at 299.070007 because it's platued for the past 3 days and it has an okay recent history. New total is 13672.550180999999"
77,2019-03-29,13674.190164999998,300.709991,0,13674.190164999998,"Sold half, 0, of stock AVGO at 300.709991 because it's platued for the past 3 days and it has an okay recent history. New total is 13674.190164999998"
78,2019-04-01,13674.190164999998,305.790009,0,13674.190164999998,"Sold half, 0, of stock AVGO at 305.790009 because it's platued for the past 3 days and it has an okay recent history. New total is 13674.190164999998"
79,2019-04-02,36.94070499999907,303.049988,45,13674.190164999998,Bought 45 of AVGO for 303.049988 because it's been growing for the past 3 days. New total is 13674.190164999998
80,2019-04-03,7033.540980999999,304.200012,23,13725.941244999998,"Sold half, 22, of stock AVGO at 304.200012 because it's platued for the past 3 days and it has an okay recent history. New total is 13725.941244999998"
81,2019-04-04,10657.540980999998,302.0,12,13979.540980999998,"Sold half, 11, of stock AVGO at 302.0 because it's platued for the past 3 days and it has an okay recent history. New total is 13979.540980999998"
82,2019-04-05,12483.220974999998,304.279999,6,14308.900968999998,"Sold half, 6, of stock AVGO at 304.279999 because it's platued for the past 3 days and it has an okay recent history. New total is 14308.900968999998"
83,2019-04-08,13396.661008,304.480011,3,14310.101041,"Sold half, 3, of stock AVGO at 304.480011 because it's platued for the past 3 days and it has an okay recent history. New total is 14310.101041"
84,2019-04-09,14003.561032,303.450012,2,14307.011043999999,"Sold half, 1, of stock AVGO at 303.450012 because it's platued for the past 3 days and it has an okay recent history. New total is 14307.011043999999"
85,2019-04-10,14311.071042,307.51001,1,14618.581052,"Sold half, 1, of stock AVGO at 307.51001 because it's platued for the past 3 days and it has an okay recent history. New total is 14618.581052"
86,2019-04-11,14620.481045999999,309.410004,0,14620.481045999999,"Sold half, 0, of stock AVGO at 309.410004 because it's platued for the past 3 days and it has an okay recent history. New total is 14620.481045999999"
87,2019-04-12,14620.481045999999,317.029999,0,14620.481045999999,"Sold half, 0, of stock AVGO at 317.029999 because it's platued for the past 3 days and it has an okay recent history. New total is 14620.481045999999"
88,2019-04-15,66.081322,316.399994,46,14620.481045999999,Bought 46 of AVGO for 316.399994 because it's been growing for the past 3 days. New total is 14620.481045999999
89,2019-04-16,7391.581322,318.5,23,14717.081322,"Sold half, 23, of stock AVGO at 318.5 because it's platued for the past 3 days and it has an okay recent history. New total is 14717.081322"
90,2019-04-17,11237.94131,320.529999,12,14763.771299,"Sold half, 11, of stock AVGO at 320.529999 because it's platued for the past 3 days and it has an okay recent history. New total is 14763.771299"
91,2019-04-18,13149.66128,318.619995,6,15061.38125,"Sold half, 6, of stock AVGO at 318.619995 because it's platued for the past 3 days and it has an okay recent history. New total is 15061.38125"
92,2019-04-22,14094.66128,315.0,3,15039.66128,"Sold half, 3, of stock AVGO at 315.0 because it's platued for the past 3 days and it has an okay recent history. New total is 15039.66128"
93,2019-04-23,14725.94131,315.640015,2,15041.581325000001,"Sold half, 1, of stock AVGO at 315.640015 because it's platued for the past 3 days and it has an okay recent history. New total is 15041.581325000001"
94,2019-04-24,15040.271297,314.329987,1,15354.601283999998,"Sold half, 1, of stock AVGO at 314.329987 because it's platued for the past 3 days and it has an okay recent history. New total is 15354.601283999998"
95,2019-04-25,15352.091304,311.820007,0,15352.091304,"Sold half, 0, of stock AVGO at 311.820007 because it's platued for the past 3 days and it has an okay recent history. New total is 15352.091304"
96,2019-04-26,15352.091304,310.410004,0,15352.091304,"Sold half, 0, of stock AVGO at 310.410004 because it's platued for the past 3 days and it has an okay recent history. New total is 15352.091304"
97,2019-04-29,15352.091304,312.720001,0,15352.091304,Sold all 0 of stock AVGO at 312.720001 because it's been falling for 3 consecutive days. New total is 15352.091304
98,2019-04-30,15352.091304,318.399994,0,15352.091304,"Sold half, 0, of stock AVGO at 318.399994 because it's platued for the past 3 days and it has an okay recent history. New total is 15352.091304"
99,2019-05-01,15352.091304,318.899994,0,15352.091304,"Sold half, 0, of stock AVGO at 318.899994 because it's platued for the past 3 days and it has an okay recent history. New total is 15352.091304"
100,2019-05-02,192.73096800000167,315.820007,48,15352.091304,Bought 48 of AVGO for 315.820007 because it's been growing for the past 3 days. New total is 15352.091304
101,2019-05-03,7769.770752000002,315.709991,24,15346.810536000003,"Sold half, 24, of stock AVGO at 315.709991 because it's platued for the past 3 days and it has an okay recent history. New total is 15346.810536000003"
102,2019-05-06,11508.610836000002,311.570007,12,15247.450920000001,"Sold half, 12, of stock AVGO at 311.570007 because it's platued for the past 3 days and it has an okay recent history. New total is 15247.450920000001"
103,2019-05-07,15196.090944000001,307.290009,0,15196.090944000001,Sold all 12 of stock AVGO at 307.290009 because it's been falling for 3 consecutive days. New total is 15196.090944000001
104,2019-05-08,15196.090944000001,303.390015,0,15196.090944000001,Sold all 0 of stock AVGO at 303.390015 because it's been falling for 3 consecutive days. New total is 15196.090944000001
105,2019-05-09,15196.090944000001,304.059998,0,15196.090944000001,Sold all 0 of stock AVGO at 304.059998 because it's been falling for 3 consecutive days. New total is 15196.090944000001
106,2019-05-10,15196.090944000001,303.959991,0,15196.090944000001,"Sold half, 0, of stock AVGO at 303.959991 because it's platued for the past 3 days and it has an okay recent history. New total is 15196.090944000001"
107,2019-05-13,15196.090944000001,293.380005,0,15196.090944000001,"Sold half, 0, of stock AVGO at 293.380005 because it's platued for the past 3 days and it has an okay recent history. New total is 15196.090944000001"
108,2019-05-14,15196.090944000001,302.0,0,15196.090944000001,"Sold half, 0, of stock AVGO at 302.0 because it's platued for the past 3 days and it has an okay recent history. New total is 15196.090944000001"
109,2019-05-15,15196.090944000001,304.369995,0,15196.090944000001,"Sold half, 0, of stock AVGO at 304.369995 because it's platued for the past 3 days and it has an okay recent history. New total is 15196.090944000001"
110,2019-05-16,15196.090944000001,297.290009,0,15196.090944000001,"Sold half, 0, of stock AVGO at 297.290009 because it's platued for the past 3 days and it has an okay recent history. New total is 15196.090944000001"
111,2019-05-17,15196.090944000001,289.890015,0,15196.090944000001,"Sold half, 0, of stock AVGO at 289.890015 because it's platued for the past 3 days and it has an okay recent history. New total is 15196.090944000001"
112,2019-05-20,15196.090944000001,272.589996,0,15196.090944000001,"Sold half, 0, of stock AVGO at 272.589996 because it's platued for the past 3 days and it has an okay recent history. New total is 15196.090944000001"
113,2019-05-21,15196.090944000001,275.329987,0,15196.090944000001,Sold all 0 of stock AVGO at 275.329987 because it's been falling for 3 consecutive days. New total is 15196.090944000001
114,2019-05-22,15196.090944000001,269.220001,0,15196.090944000001,"Sold half, 0, of stock AVGO at 269.220001 because it's platued for the past 3 days and it has an okay recent history. New total is 15196.090944000001"
115,2019-05-23,15196.090944000001,260.089996,0,15196.090944000001,"Sold all 0, of stock AVGO at 260.089996 because it's platued for the past 3 days, but it has a poor recent history. New total is 15196.090944000001"
116,2019-05-24,15196.090944000001,255.940002,0,15196.090944000001,"Sold all 0, of stock AVGO at 255.940002 because it's platued for the past 3 days, but it has a poor recent history. New total is 15196.090944000001"
117,2019-05-28,15196.090944000001,254.479996,0,15196.090944000001,Sold all 0 of stock AVGO at 254.479996 because it's been falling for 3 consecutive days. New total is 15196.090944000001
118,2019-05-29,15196.090944000001,254.119995,0,15196.090944000001,Sold all 0 of stock AVGO at 254.119995 because it's been falling for 3 consecutive days. New total is 15196.090944000001
119,2019-05-30,15196.090944000001,256.619995,0,15196.090944000001,Sold all 0 of stock AVGO at 256.619995 because it's been falling for 3 consecutive days. New total is 15196.090944000001
