Date,Open,High,Low,Close,Adj Close,Volume
2016-12-09,180.949997,181.899994,176.899994,179.089996,150.155777,7574400
2016-12-12,178.050003,180.770004,176.559998,178.160004,149.375992,3719400
2016-12-13,178.740005,181.940002,178.000000,179.440002,150.449219,6907600
2016-12-14,178.750000,179.220001,176.229996,177.619995,149.774643,4679500
2016-12-15,178.309998,181.199997,176.570007,180.009995,151.789917,3810300
2016-12-16,180.750000,181.089996,177.479996,178.419998,150.449203,4154100
2016-12-19,179.070007,181.410004,178.119995,180.460007,152.169434,2221900
2016-12-20,181.000000,183.279999,180.139999,182.070007,153.527008,2735200
2016-12-21,183.729996,183.990005,181.779999,182.289993,153.712524,2101300
2016-12-22,182.850006,183.000000,179.380005,180.600006,152.287445,1755700
2016-12-23,180.050003,181.979996,179.660004,181.940002,153.417404,897700
2016-12-27,182.110001,183.699997,182.050003,182.309998,153.729385,828300
2016-12-28,182.639999,183.000000,179.839996,180.190002,151.941772,1403900
2016-12-29,179.699997,180.669998,178.630005,179.869995,151.671906,1367100
2016-12-30,180.369995,180.899994,176.020004,176.770004,149.057877,2542100
2017-01-03,178.289993,180.899994,176.539993,178.339996,150.381775,3209800
2017-01-04,178.259995,179.000000,176.679993,177.070007,149.310852,2396500
2017-01-05,176.330002,177.000000,173.880005,174.279999,146.958221,2486100
2017-01-06,174.210007,176.899994,173.309998,176.589996,148.906082,2314200
2017-01-09,176.649994,178.300003,176.639999,176.970001,149.226532,2026500
2017-01-10,177.490005,180.740005,176.899994,180.570007,152.262177,3018100
2017-01-11,180.050003,180.470001,177.759995,179.419998,151.292419,1878700
2017-01-12,178.089996,179.100006,175.399994,178.860001,150.820251,2313700
2017-01-13,178.899994,180.779999,178.389999,180.449997,152.160950,2090200
2017-01-17,179.479996,179.630005,177.559998,179.110001,151.031067,2631600
2017-01-18,180.360001,185.070007,180.000000,185.020004,156.014557,3564200
2017-01-19,185.100006,186.880005,184.679993,185.559998,156.469879,4571800
2017-01-20,188.600006,191.539993,188.100006,191.080002,161.124481,5762300
2017-01-23,191.009995,191.529999,188.419998,191.000000,161.057053,3339400
2017-01-24,192.720001,199.639999,192.279999,197.750000,166.748871,6200800
2017-01-25,199.919998,202.589996,198.029999,202.479996,170.737320,6088800
2017-01-26,204.440002,205.270004,201.130005,204.169998,172.162415,3882000
2017-01-27,205.380005,205.789993,203.539993,205.710007,173.460983,2578000
2017-01-30,204.449997,204.869995,200.610001,203.220001,171.361359,3323400
2017-01-31,202.470001,202.470001,198.860001,199.500000,168.224518,2674900
2017-02-01,202.250000,204.479996,200.210007,203.690002,171.757675,3118400
2017-02-02,201.970001,205.029999,201.000000,204.050003,172.061234,2271200
2017-02-03,204.949997,206.600006,203.029999,206.160004,173.840424,2436700
2017-02-06,206.149994,206.660004,204.300003,206.559998,174.177689,1871600
2017-02-07,207.210007,207.399994,204.929993,205.910004,173.629623,2284000
2017-02-08,205.970001,208.750000,205.160004,206.889999,174.455994,2106900
2017-02-09,207.330002,207.690002,203.630005,205.339996,173.149017,2751900
2017-02-10,206.000000,206.500000,203.850006,205.520004,173.300751,2384200
2017-02-13,206.779999,207.110001,205.169998,206.710007,174.304199,1246300
2017-02-14,206.990005,207.000000,204.800003,205.330002,173.140549,1735700
2017-02-15,205.820007,206.940002,204.800003,205.990005,173.697113,1708800
2017-02-16,206.460007,208.220001,205.179993,208.179993,175.543777,1718800
2017-02-17,209.000000,210.410004,206.820007,210.410004,177.424194,3094500
2017-02-21,211.000000,213.619995,210.910004,212.750000,179.397324,3033300
2017-02-22,213.000000,214.929993,211.500000,214.160004,180.586304,2394900
2017-02-23,215.080002,215.960007,209.639999,210.580002,177.567505,2936400
2017-02-24,208.380005,210.649994,202.610001,210.369995,177.390427,2765100
2017-02-27,210.669998,213.449997,210.190002,213.279999,179.844208,2699100
2017-02-28,214.139999,214.339996,210.300003,210.929993,177.862656,2754800
2017-03-01,213.070007,215.389999,210.559998,215.139999,181.412674,5115500
2017-03-02,224.110001,224.979996,216.020004,217.289993,183.225601,7117100
2017-03-03,218.000000,220.000000,217.699997,218.320007,184.094131,3074700
2017-03-06,216.369995,218.529999,215.169998,217.940002,183.773651,2277100
2017-03-07,217.339996,221.369995,217.089996,219.250000,184.878326,2912900
2017-03-08,219.220001,221.240005,218.550003,219.630005,185.198776,2453200
2017-03-09,218.779999,222.860001,218.119995,222.009995,187.205643,2567500
2017-03-10,222.729996,226.410004,222.729996,226.350006,190.865295,3943000
2017-03-13,225.860001,227.750000,225.360001,226.449997,190.949600,2666900
2017-03-14,224.759995,226.279999,223.509995,224.350006,189.178802,2216500
2017-03-15,224.330002,226.649994,223.240005,225.929993,190.511108,2072700
2017-03-16,225.479996,225.820007,221.570007,222.360001,188.351089,2783500
2017-03-17,223.520004,223.710007,220.850006,221.179993,187.351608,5163500
2017-03-20,221.179993,222.639999,220.779999,221.240005,187.402390,1721500
2017-03-21,222.240005,222.979996,215.520004,216.020004,182.980774,3055700
2017-03-22,216.020004,218.369995,215.389999,217.419998,184.166672,1913100
2017-03-23,217.259995,218.460007,216.429993,216.860001,183.692307,1922300
2017-03-24,218.009995,221.399994,217.740005,218.970001,185.479584,2379400
2017-03-27,216.830002,220.179993,215.970001,219.050003,185.547363,1535800
2017-03-28,218.509995,221.779999,218.350006,220.949997,187.156784,1792900
2017-03-29,220.800003,221.350006,219.679993,221.309998,187.461716,1592700
2017-03-30,221.899994,224.449997,218.860001,220.039993,186.385971,3416800
2017-03-31,219.990005,220.990005,218.029999,218.960007,185.471115,2589700
2017-04-03,219.000000,219.990005,216.660004,218.800003,185.335602,1921000
