,Date,Spending Power,Price,Quantity,Total,Report
0,2018-12-06,10000.0,282.880005,0,10000.0,"Sold all 0, of stock NFLX at 282.880005 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
1,2018-12-07,10000.0,265.140015,0,10000.0,"Sold all 0, of stock NFLX at 265.140015 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
2,2018-12-10,10000.0,269.700012,0,10000.0,"Sold all 0, of stock NFLX at 269.700012 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
3,2018-12-11,10000.0,265.320007,0,10000.0,"Sold all 0, of stock NFLX at 265.320007 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
4,2018-12-12,10000.0,274.880005,0,10000.0,"Sold all 0, of stock NFLX at 274.880005 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
5,2018-12-13,10000.0,276.019989,0,10000.0,"Sold all 0, of stock NFLX at 276.019989 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
6,2018-12-14,10000.0,266.839996,0,10000.0,"Sold all 0, of stock NFLX at 266.839996 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
7,2018-12-17,10000.0,262.799988,0,10000.0,"Sold all 0, of stock NFLX at 262.799988 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
8,2018-12-18,10000.0,270.940002,0,10000.0,"Sold all 0, of stock NFLX at 270.940002 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
9,2018-12-19,10000.0,266.769989,0,10000.0,"Sold all 0, of stock NFLX at 266.769989 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
10,2018-12-20,10000.0,260.579987,0,10000.0,"Sold all 0, of stock NFLX at 260.579987 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
11,2018-12-21,10000.0,246.389999,0,10000.0,"Sold all 0, of stock NFLX at 246.389999 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
12,2018-12-24,10000.0,233.880005,0,10000.0,Sold all 0 of stock NFLX at 233.880005 because it's been falling for 3 consecutive days. New total is 10000.0
13,2018-12-26,10000.0,253.669998,0,10000.0,Sold all 0 of stock NFLX at 253.669998 because it's been falling for 3 consecutive days. New total is 10000.0
14,2018-12-27,10000.0,255.570007,0,10000.0,"Sold all 0, of stock NFLX at 255.570007 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
15,2018-12-28,10000.0,256.079987,0,10000.0,"Sold all 0, of stock NFLX at 256.079987 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
16,2018-12-31,96.57985199999894,267.660004,37,10000.0,Bought 37 of NFLX for 267.660004 because it's been growing for the past 3 days. New total is 10000.0
17,2019-01-02,96.57985199999894,267.660004,37,10000.0,Bought 0 of NFLX for 267.660004 because it's been growing for the past 3 days. New total is 10000.0
18,2019-01-03,10130.980296,271.200012,0,10130.980296,"Sold all 0, of stock NFLX at 271.200012 because it's platued for the past 3 days, but it has a poor recent history. New total is 10130.980296"
19,2019-01-04,10130.980296,297.570007,0,10130.980296,"Sold half, 0, of stock NFLX at 297.570007 because it's platued for the past 3 days and it has an okay recent history. New total is 10130.980296"
20,2019-01-07,10130.980296,315.339996,0,10130.980296,"Sold half, 0, of stock NFLX at 315.339996 because it's platued for the past 3 days and it has an okay recent history. New total is 10130.980296"
21,2019-01-08,202.61063699999977,320.269989,31,10130.980296,Bought 31 of NFLX for 320.269989 because it's been growing for the past 3 days. New total is 10130.980296
22,2019-01-09,202.61063699999977,319.959991,31,10121.370358,Bought 0 of NFLX for 319.959991 because it's been growing for the past 3 days. New total is 10121.370358
23,2019-01-10,5397.170701,324.660004,16,10267.070760999999,"Sold half, 15, of stock NFLX at 324.660004 because it's platued for the past 3 days and it has an okay recent history. New total is 10267.070760999999"
24,2019-01-11,8097.890669,337.589996,8,10798.610637,"Sold half, 8, of stock NFLX at 337.589996 because it's platued for the past 3 days and it has an okay recent history. New total is 10798.610637"
25,2019-01-14,9429.650677,332.940002,4,10761.410684999999,"Sold half, 4, of stock NFLX at 332.940002 because it's platued for the past 3 days and it has an okay recent history. New total is 10761.410684999999"
26,2019-01-15,10138.930707,354.640015,2,10848.210737,"Sold half, 2, of stock NFLX at 354.640015 because it's platued for the past 3 days and it has an okay recent history. New total is 10848.210737"
27,2019-01-16,10490.320722,351.390015,1,10841.710737000001,"Sold half, 1, of stock NFLX at 351.390015 because it's platued for the past 3 days and it has an okay recent history. New total is 10841.710737000001"
28,2019-01-17,10843.510724,353.190002,0,10843.510724,"Sold half, 0, of stock NFLX at 353.190002 because it's platued for the past 3 days and it has an okay recent history. New total is 10843.510724"
29,2019-01-18,10843.510724,339.100006,0,10843.510724,"Sold half, 0, of stock NFLX at 339.100006 because it's platued for the past 3 days and it has an okay recent history. New total is 10843.510724"
30,2019-01-22,10843.510724,325.160004,0,10843.510724,"Sold half, 0, of stock NFLX at 325.160004 because it's platued for the past 3 days and it has an okay recent history. New total is 10843.510724"
31,2019-01-23,10843.510724,321.98999,0,10843.510724,"Sold half, 0, of stock NFLX at 321.98999 because it's platued for the past 3 days and it has an okay recent history. New total is 10843.510724"
32,2019-01-24,10843.510724,326.670013,0,10843.510724,Sold all 0 of stock NFLX at 326.670013 because it's been falling for 3 consecutive days. New total is 10843.510724
33,2019-01-25,10843.510724,338.049988,0,10843.510724,"Sold half, 0, of stock NFLX at 338.049988 because it's platued for the past 3 days and it has an okay recent history. New total is 10843.510724"
