,Date,Spending Power,Price,Quantity,Total,Report
0,2018-12-06,10000.0,93.550003,0,10000.0,"Sold half, 0, of stock PG at 93.550003 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
1,2018-12-07,10000.0,92.449997,0,10000.0,"Sold half, 0, of stock PG at 92.449997 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
2,2018-12-10,10000.0,93.029999,0,10000.0,"Sold half, 0, of stock PG at 93.029999 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
3,2018-12-11,10000.0,93.910004,0,10000.0,"Sold half, 0, of stock PG at 93.910004 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
4,2018-12-12,10000.0,94.029999,0,10000.0,"Sold half, 0, of stock PG at 94.029999 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
5,2018-12-13,61.53020599999945,96.489998,103,10000.0,Bought 103 of PG for 96.489998 because it's been growing for the past 3 days. New total is 10000.0
6,2018-12-14,61.53020599999945,96.639999,103,10015.450103,Bought 0 of PG for 96.639999 because it's been growing for the past 3 days. New total is 10015.450103
7,2018-12-17,61.53020599999945,92.769997,103,9616.839897,Bought 0 of PG for 92.769997 because it's been growing for the past 3 days. New total is 9616.839897
8,2018-12-18,4871.010101999999,92.489998,52,9588.0,"Sold half, 51, of stock PG at 92.489998 because it's platued for the past 3 days and it has an okay recent history. New total is 9588.0"
9,2018-12-19,7256.770154,91.760002,26,9642.530206,"Sold half, 26, of stock PG at 91.760002 because it's platued for the past 3 days and it has an okay recent history. New total is 9642.530206"
10,2018-12-20,9622.250232,90.980003,0,9622.250232,Sold all 26 of stock PG at 90.980003 because it's been falling for 3 consecutive days. New total is 9622.250232
11,2018-12-21,9622.250232,90.970001,0,9622.250232,Sold all 0 of stock PG at 90.970001 because it's been falling for 3 consecutive days. New total is 9622.250232
12,2018-12-24,9622.250232,87.360001,0,9622.250232,Sold all 0 of stock PG at 87.360001 because it's been falling for 3 consecutive days. New total is 9622.250232
13,2018-12-26,9622.250232,90.089996,0,9622.250232,Sold all 0 of stock PG at 90.089996 because it's been falling for 3 consecutive days. New total is 9622.250232
14,2018-12-27,9622.250232,92.019997,0,9622.250232,"Sold half, 0, of stock PG at 92.019997 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
15,2018-12-28,9622.250232,91.18,0,9622.250232,"Sold half, 0, of stock PG at 91.18 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
16,2018-12-31,9622.250232,91.919998,0,9622.250232,"Sold half, 0, of stock PG at 91.919998 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
17,2019-01-02,9622.250232,91.279999,0,9622.250232,"Sold half, 0, of stock PG at 91.279999 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
18,2019-01-03,9622.250232,90.639999,0,9622.250232,"Sold half, 0, of stock PG at 90.639999 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
19,2019-01-04,9622.250232,92.489998,0,9622.250232,"Sold half, 0, of stock PG at 92.489998 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
20,2019-01-07,9622.250232,92.120003,0,9622.250232,"Sold half, 0, of stock PG at 92.120003 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
21,2019-01-08,9622.250232,92.459999,0,9622.250232,"Sold half, 0, of stock PG at 92.459999 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
22,2019-01-09,9622.250232,90.949997,0,9622.250232,"Sold half, 0, of stock PG at 90.949997 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
23,2019-01-10,9622.250232,91.169998,0,9622.250232,"Sold half, 0, of stock PG at 91.169998 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
24,2019-01-11,9622.250232,91.769997,0,9622.250232,"Sold half, 0, of stock PG at 91.769997 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
25,2019-01-14,9622.250232,91.150002,0,9622.250232,"Sold half, 0, of stock PG at 91.150002 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
26,2019-01-15,9622.250232,92.010002,0,9622.250232,"Sold half, 0, of stock PG at 92.010002 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
27,2019-01-16,9622.250232,91.370003,0,9622.250232,"Sold half, 0, of stock PG at 91.370003 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
28,2019-01-17,9622.250232,90.639999,0,9622.250232,"Sold half, 0, of stock PG at 90.639999 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
29,2019-01-18,9622.250232,91.419998,0,9622.250232,"Sold half, 0, of stock PG at 91.419998 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
30,2019-01-22,9622.250232,90.440002,0,9622.250232,"Sold half, 0, of stock PG at 90.440002 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
31,2019-01-23,9622.250232,94.839996,0,9622.250232,"Sold half, 0, of stock PG at 94.839996 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
32,2019-01-24,9622.250232,94.300003,0,9622.250232,"Sold half, 0, of stock PG at 94.300003 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
33,2019-01-25,9622.250232,93.599998,0,9622.250232,"Sold half, 0, of stock PG at 93.599998 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
34,2019-01-28,9622.250232,93.519997,0,9622.250232,"Sold half, 0, of stock PG at 93.519997 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
35,2019-01-29,9622.250232,93.540001,0,9622.250232,Sold all 0 of stock PG at 93.540001 because it's been falling for 3 consecutive days. New total is 9622.250232
36,2019-01-30,9622.250232,94.519997,0,9622.250232,"Sold half, 0, of stock PG at 94.519997 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
37,2019-01-31,9622.250232,96.470001,0,9622.250232,"Sold half, 0, of stock PG at 96.470001 because it's platued for the past 3 days and it has an okay recent history. New total is 9622.250232"
38,2019-02-01,70.1901340000004,97.470001,98,9622.250232,Bought 98 of PG for 97.470001 because it's been growing for the past 3 days. New total is 9622.250232
39,2019-02-04,70.1901340000004,98.029999,98,9677.130036,Bought 0 of PG for 98.029999 because it's been growing for the past 3 days. New total is 9677.130036
40,2019-02-05,70.1901340000004,97.440002,98,9619.31033,Bought 0 of PG for 97.440002 because it's been growing for the past 3 days. New total is 9619.31033
41,2019-02-06,4868.270036000001,97.919998,49,9666.349938000001,"Sold half, 49, of stock PG at 97.919998 because it's platued for the past 3 days and it has an okay recent history. New total is 9666.349938000001"
42,2019-02-07,7296.7700110000005,97.139999,25,9628.129987,"Sold half, 24, of stock PG at 97.139999 because it's platued for the past 3 days and it has an okay recent history. New total is 9628.129987"
43,2019-02-08,8566.999998000001,97.709999,13,9739.519986000001,"Sold half, 12, of stock PG at 97.709999 because it's platued for the past 3 days and it has an okay recent history. New total is 9739.519986000001"
44,2019-02-11,9254.889977,98.269997,7,9844.509959,"Sold half, 6, of stock PG at 98.269997 because it's platued for the past 3 days and it has an okay recent history. New total is 9844.509959"
45,2019-02-12,9651.929985,99.260002,4,9949.709991000002,"Sold half, 3, of stock PG at 99.260002 because it's platued for the past 3 days and it has an okay recent history. New total is 9949.709991000002"
46,2019-02-13,25.650179000000207,99.239998,101,10048.889977,Bought 97 of PG for 99.239998 because it's been growing for the past 3 days. New total is 10048.889977
47,2019-02-14,5047.110128,98.459999,51,9970.110078,"Sold half, 50, of stock PG at 98.459999 because it's platued for the past 3 days and it has an okay recent history. New total is 9970.110078"
48,2019-02-15,7607.590206000001,98.480003,26,10069.590281,"Sold half, 25, of stock PG at 98.480003 because it's platued for the past 3 days and it has an okay recent history. New total is 10069.590281"
49,2019-02-19,8907.46018,99.989998,13,10207.330154,"Sold half, 13, of stock PG at 99.989998 because it's platued for the past 3 days and it has an okay recent history. New total is 10207.330154"
50,2019-02-20,9602.420173,99.279999,7,10198.100167,"Sold half, 6, of stock PG at 99.279999 because it's platued for the past 3 days and it has an okay recent history. New total is 10198.100167"
51,2019-02-21,10001.540169,99.779999,4,10300.880165999999,"Sold half, 3, of stock PG at 99.779999 because it's platued for the past 3 days and it has an okay recent history. New total is 10300.880165999999"
52,2019-02-22,10202.040169,100.25,2,10402.540169,"Sold half, 2, of stock PG at 100.25 because it's platued for the past 3 days and it has an okay recent history. New total is 10402.540169"
53,2019-02-25,10301.610169,99.57,1,10401.180169,"Sold half, 1, of stock PG at 99.57 because it's platued for the past 3 days and it has an okay recent history. New total is 10401.180169"
54,2019-02-26,10401.440171,99.830002,0,10401.440171,"Sold half, 0, of stock PG at 99.830002 because it's platued for the past 3 days and it has an okay recent history. New total is 10401.440171"
55,2019-02-27,10401.440171,98.910004,0,10401.440171,"Sold half, 0, of stock PG at 98.910004 because it's platued for the past 3 days and it has an okay recent history. New total is 10401.440171"
56,2019-02-28,10401.440171,98.550003,0,10401.440171,"Sold half, 0, of stock PG at 98.550003 because it's platued for the past 3 days and it has an okay recent history. New total is 10401.440171"
57,2019-03-01,10401.440171,98.440002,0,10401.440171,"Sold half, 0, of stock PG at 98.440002 because it's platued for the past 3 days and it has an okay recent history. New total is 10401.440171"
58,2019-03-04,10401.440171,98.870003,0,10401.440171,Sold all 0 of stock PG at 98.870003 because it's been falling for 3 consecutive days. New total is 10401.440171
59,2019-03-05,10401.440171,99.089996,0,10401.440171,"Sold half, 0, of stock PG at 99.089996 because it's platued for the past 3 days and it has an okay recent history. New total is 10401.440171"
60,2019-03-06,10401.440171,98.93,0,10401.440171,"Sold half, 0, of stock PG at 98.93 because it's platued for the past 3 days and it has an okay recent history. New total is 10401.440171"
61,2019-03-07,10401.440171,98.550003,0,10401.440171,"Sold half, 0, of stock PG at 98.550003 because it's platued for the past 3 days and it has an okay recent history. New total is 10401.440171"
62,2019-03-08,10401.440171,98.410004,0,10401.440171,"Sold half, 0, of stock PG at 98.410004 because it's platued for the past 3 days and it has an okay recent history. New total is 10401.440171"
63,2019-03-11,10401.440171,99.580002,0,10401.440171,Sold all 0 of stock PG at 99.580002 because it's been falling for 3 consecutive days. New total is 10401.440171
64,2019-03-12,10401.440171,100.050003,0,10401.440171,"Sold half, 0, of stock PG at 100.050003 because it's platued for the past 3 days and it has an okay recent history. New total is 10401.440171"
65,2019-03-13,10401.440171,101.18,0,10401.440171,"Sold half, 0, of stock PG at 101.18 because it's platued for the past 3 days and it has an okay recent history. New total is 10401.440171"
66,2019-03-14,66.80017100000077,101.32,102,10401.440171,Bought 102 of PG for 101.32 because it's been growing for the past 3 days. New total is 10401.440171
67,2019-03-15,66.80017100000077,102.440002,102,10515.680375000002,Bought 0 of PG for 102.440002 because it's been growing for the past 3 days. New total is 10515.680375000002
68,2019-03-18,66.80017100000077,101.510002,102,10420.820375000001,Bought 0 of PG for 101.510002 because it's been growing for the past 3 days. New total is 10420.820375000001
69,2019-03-19,5263.700273,101.900002,51,10460.600375,"Sold half, 51, of stock PG at 101.900002 because it's platued for the past 3 days and it has an okay recent history. New total is 10460.600375"
70,2019-03-20,7908.420299,101.720001,26,10451.420324,"Sold half, 25, of stock PG at 101.720001 because it's platued for the past 3 days and it has an okay recent history. New total is 10451.420324"
71,2019-03-21,9240.790273,102.489998,13,10573.160247,"Sold half, 13, of stock PG at 102.489998 because it's platued for the past 3 days and it has an okay recent history. New total is 10573.160247"
72,2019-03-22,9952.410301,101.660004,7,10562.370325,"Sold half, 6, of stock PG at 101.660004 because it's platued for the past 3 days and it has an okay recent history. New total is 10562.370325"
73,2019-03-25,10360.250297,101.959999,4,10666.130294,"Sold half, 3, of stock PG at 101.959999 because it's platued for the past 3 days and it has an okay recent history. New total is 10666.130294"
74,2019-03-26,10566.290291000001,103.019997,2,10772.330285000002,"Sold half, 2, of stock PG at 103.019997 because it's platued for the past 3 days and it has an okay recent history. New total is 10772.330285000002"
75,2019-03-27,10669.190293000001,102.900002,1,10772.090295000002,"Sold half, 1, of stock PG at 102.900002 because it's platued for the past 3 days and it has an okay recent history. New total is 10772.090295000002"
