,Date,Spending Power,Price,Quantity,Total,Report
0,2018-12-06,10000.0,242.039993,0,10000.0,"Sold half, 0, of stock TMO at 242.039993 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
1,2018-12-07,10000.0,235.860001,0,10000.0,"Sold half, 0, of stock TMO at 235.860001 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
2,2018-12-10,10000.0,237.080002,0,10000.0,Sold all 0 of stock TMO at 237.080002 because it's been falling for 3 consecutive days. New total is 10000.0
3,2018-12-11,10000.0,237.5,0,10000.0,"Sold half, 0, of stock TMO at 237.5 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
4,2018-12-12,10000.0,241.270004,0,10000.0,"Sold half, 0, of stock TMO at 241.270004 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
5,2018-12-13,97.67983599999934,241.520004,41,10000.0,Bought 41 of TMO for 241.520004 because it's been growing for the past 3 days. New total is 10000.0
6,2018-12-14,97.67983599999934,234.190002,41,9699.469917999999,Bought 0 of TMO for 234.190002 because it's been growing for the past 3 days. New total is 9699.469917999999
7,2018-12-17,4903.949730999999,228.869995,21,9481.349630999997,"Sold half, 20, of stock TMO at 228.869995 because it's platued for the past 3 days and it has an okay recent history. New total is 9481.349630999997"
8,2018-12-18,7437.249763999998,230.300003,11,9740.249794,"Sold half, 10, of stock TMO at 230.300003 because it's platued for the past 3 days and it has an okay recent history. New total is 9740.249794"
9,2018-12-19,8807.409769999998,228.360001,6,9949.209775,"Sold half, 5, of stock TMO at 228.360001 because it's platued for the past 3 days and it has an okay recent history. New total is 9949.209775"
10,2018-12-20,9466.389781999998,219.660004,3,10125.369793999998,"Sold half, 3, of stock TMO at 219.660004 because it's platued for the past 3 days and it has an okay recent history. New total is 10125.369793999998"
11,2018-12-21,10113.759760999998,215.789993,0,10113.759760999998,"Sold all 0, of stock TMO at 215.789993 because it's platued for the past 3 days, but it has a poor recent history. New total is 10113.759760999998"
12,2018-12-24,10113.759760999998,208.470001,0,10113.759760999998,Sold all 0 of stock TMO at 208.470001 because it's been falling for 3 consecutive days. New total is 10113.759760999998
13,2018-12-26,10113.759760999998,217.970001,0,10113.759760999998,Sold all 0 of stock TMO at 217.970001 because it's been falling for 3 consecutive days. New total is 10113.759760999998
14,2018-12-27,10113.759760999998,221.089996,0,10113.759760999998,"Sold half, 0, of stock TMO at 221.089996 because it's platued for the past 3 days and it has an okay recent history. New total is 10113.759760999998"
15,2018-12-28,10113.759760999998,222.449997,0,10113.759760999998,"Sold half, 0, of stock TMO at 222.449997 because it's platued for the past 3 days and it has an okay recent history. New total is 10113.759760999998"
16,2018-12-31,43.21007599999757,223.789993,45,10113.759760999998,Bought 45 of TMO for 223.789993 because it's been growing for the past 3 days. New total is 10113.759760999998
17,2019-01-02,43.21007599999757,219.419998,45,9917.109985999998,Bought 0 of TMO for 219.419998 because it's been growing for the past 3 days. New total is 9917.109985999998
18,2019-01-03,9590.859985999998,212.169998,0,9590.859985999998,"Sold all 0, of stock TMO at 212.169998 because it's platued for the past 3 days, but it has a poor recent history. New total is 9590.859985999998"
19,2019-01-04,9590.859985999998,221.759995,0,9590.859985999998,"Sold half, 0, of stock TMO at 221.759995 because it's platued for the past 3 days and it has an okay recent history. New total is 9590.859985999998"
20,2019-01-07,9590.859985999998,224.75,0,9590.859985999998,"Sold half, 0, of stock TMO at 224.75 because it's platued for the past 3 days and it has an okay recent history. New total is 9590.859985999998"
21,2019-01-08,9590.859985999998,229.979996,0,9590.859985999998,"Sold half, 0, of stock TMO at 229.979996 because it's platued for the past 3 days and it has an okay recent history. New total is 9590.859985999998"
22,2019-01-09,135.2600259999981,236.389999,40,9590.859985999998,Bought 40 of TMO for 236.389999 because it's been growing for the past 3 days. New total is 9590.859985999998
23,2019-01-10,135.2600259999981,238.860001,40,9689.660065999999,Bought 0 of TMO for 238.860001 because it's been growing for the past 3 days. New total is 9689.660065999999
24,2019-01-11,135.2600259999981,240.0,40,9735.260025999998,Bought 0 of TMO for 240.0 because it's been growing for the past 3 days. New total is 9735.260025999998
25,2019-01-14,135.2600259999981,235.039993,40,9536.859745999998,Bought 0 of TMO for 235.039993 because it's been growing for the past 3 days. New total is 9536.859745999998
26,2019-01-15,4844.660045999998,235.470001,20,9554.060065999998,"Sold half, 20, of stock TMO at 235.470001 because it's platued for the past 3 days and it has an okay recent history. New total is 9554.060065999998"
27,2019-01-16,7190.960095999999,234.630005,10,9537.260145999999,"Sold half, 10, of stock TMO at 234.630005 because it's platued for the past 3 days and it has an okay recent history. New total is 9537.260145999999"
28,2019-01-17,8381.810086,238.169998,5,9572.660076,"Sold half, 5, of stock TMO at 238.169998 because it's platued for the past 3 days and it has an okay recent history. New total is 9572.660076"
29,2019-01-18,9103.790098,240.660004,3,9585.110106,"Sold half, 2, of stock TMO at 240.660004 because it's platued for the past 3 days and it has an okay recent history. New total is 9585.110106"
30,2019-01-22,9585.190091999999,240.699997,2,9825.890088999999,"Sold half, 1, of stock TMO at 240.699997 because it's platued for the past 3 days and it has an okay recent history. New total is 9825.890088999999"
31,2019-01-23,168.24981899999875,241.460007,41,10068.110105999998,Bought 39 of TMO for 241.460007 because it's been growing for the past 3 days. New total is 10068.110105999998
32,2019-01-24,168.24981899999875,240.580002,41,10032.029901,Bought 0 of TMO for 240.580002 because it's been growing for the past 3 days. New total is 10032.029901
33,2019-01-25,5227.1496929999985,240.899994,21,10045.149572999999,"Sold half, 20, of stock TMO at 240.899994 because it's platued for the past 3 days and it has an okay recent history. New total is 10045.149572999999"
34,2019-01-28,7843.829747999998,237.880005,11,10222.629797999998,"Sold half, 10, of stock TMO at 237.880005 because it's platued for the past 3 days and it has an okay recent history. New total is 10222.629797999998"
35,2019-01-29,9265.229711999998,236.899994,6,10449.729681999997,"Sold half, 5, of stock TMO at 236.899994 because it's platued for the past 3 days and it has an okay recent history. New total is 10449.729681999997"
36,2019-01-30,10000.409705999999,245.059998,3,10735.589699999999,"Sold half, 3, of stock TMO at 245.059998 because it's platued for the past 3 days and it has an okay recent history. New total is 10735.589699999999"
37,2019-01-31,10491.749702,245.669998,2,10737.419699999999,"Sold half, 1, of stock TMO at 245.669998 because it's platued for the past 3 days and it has an okay recent history. New total is 10737.419699999999"
38,2019-02-01,10735.179694999999,243.429993,1,10978.609687999999,"Sold half, 1, of stock TMO at 243.429993 because it's platued for the past 3 days and it has an okay recent history. New total is 10978.609687999999"
39,2019-02-04,10978.769691,243.589996,0,10978.769691,"Sold half, 0, of stock TMO at 243.589996 because it's platued for the past 3 days and it has an okay recent history. New total is 10978.769691"
40,2019-02-05,10978.769691,246.009995,0,10978.769691,"Sold half, 0, of stock TMO at 246.009995 because it's platued for the past 3 days and it has an okay recent history. New total is 10978.769691"
41,2019-02-06,10978.769691,247.25,0,10978.769691,"Sold half, 0, of stock TMO at 247.25 because it's platued for the past 3 days and it has an okay recent history. New total is 10978.769691"
42,2019-02-07,47.81951099999969,242.910004,45,10978.769691,Bought 45 of TMO for 242.910004 because it's been growing for the past 3 days. New total is 10978.769691
43,2019-02-08,5648.549395999999,243.509995,23,11005.769285999999,"Sold half, 22, of stock TMO at 243.509995 because it's platued for the past 3 days and it has an okay recent history. New total is 11005.769285999999"
44,2019-02-11,8583.38948,244.570007,12,11273.659556999999,"Sold half, 11, of stock TMO at 244.570007 because it's platued for the past 3 days and it has an okay recent history. New total is 11273.659556999999"
45,2019-02-12,10073.369492,248.330002,6,11563.349504,"Sold half, 6, of stock TMO at 248.330002 because it's platued for the past 3 days and it has an okay recent history. New total is 11563.349504"
46,2019-02-13,177.76953200000025,247.389999,46,11557.709486,Bought 40 of TMO for 247.389999 because it's been growing for the past 3 days. New total is 11557.709486
47,2019-02-14,5838.989509,246.139999,23,11500.209486,"Sold half, 23, of stock TMO at 246.139999 because it's platued for the past 3 days and it has an okay recent history. New total is 11500.209486"
48,2019-02-15,8868.869569,252.490005,12,11646.259624,"Sold half, 11, of stock TMO at 252.490005 because it's platued for the past 3 days and it has an okay recent history. New total is 11646.259624"
49,2019-02-19,10373.849581,250.830002,6,11878.829593,"Sold half, 6, of stock TMO at 250.830002 because it's platued for the past 3 days and it has an okay recent history. New total is 11878.829593"
50,2019-02-20,11130.509584,252.220001,3,11887.169587,"Sold half, 3, of stock TMO at 252.220001 because it's platued for the past 3 days and it has an okay recent history. New total is 11887.169587"
51,2019-02-21,11633.409577999999,251.449997,2,11884.859574999999,"Sold half, 1, of stock TMO at 251.449997 because it's platued for the past 3 days and it has an okay recent history. New total is 11884.859574999999"
52,2019-02-22,11885.509584,252.100006,1,12137.60959,"Sold half, 1, of stock TMO at 252.100006 because it's platued for the past 3 days and it has an okay recent history. New total is 12137.60959"
53,2019-02-25,12139.34958,253.839996,0,12139.34958,"Sold half, 0, of stock TMO at 253.839996 because it's platued for the past 3 days and it has an okay recent history. New total is 12139.34958"
54,2019-02-26,12139.34958,253.990005,0,12139.34958,"Sold half, 0, of stock TMO at 253.990005 because it's platued for the past 3 days and it has an okay recent history. New total is 12139.34958"
55,2019-02-27,218.9088900000006,259.140015,46,12139.34958,Bought 46 of TMO for 259.140015 because it's been growing for the past 3 days. New total is 12139.34958
56,2019-02-28,218.9088900000006,259.570007,46,12159.129212,Bought 0 of TMO for 259.570007 because it's been growing for the past 3 days. New total is 12159.129212
57,2019-03-01,218.9088900000006,264.059998,46,12365.668798,Bought 0 of TMO for 264.059998 because it's been growing for the past 3 days. New total is 12365.668798
58,2019-03-04,218.9088900000006,259.450012,46,12153.609442,Bought 0 of TMO for 259.450012 because it's been growing for the past 3 days. New total is 12153.609442
59,2019-03-05,6071.4890510000005,254.460007,23,11924.069212,"Sold half, 23, of stock TMO at 254.460007 because it's platued for the past 3 days and it has an okay recent history. New total is 11924.069212"
60,2019-03-06,9086.369111,251.240005,12,11850.009166,"Sold half, 11, of stock TMO at 251.240005 because it's platued for the past 3 days and it has an okay recent history. New total is 11850.009166"
61,2019-03-07,12096.089087,250.809998,0,12096.089087,Sold all 12 of stock TMO at 250.809998 because it's been falling for 3 consecutive days. New total is 12096.089087
62,2019-03-08,12096.089087,249.850006,0,12096.089087,Sold all 0 of stock TMO at 249.850006 because it's been falling for 3 consecutive days. New total is 12096.089087
63,2019-03-11,12096.089087,254.320007,0,12096.089087,Sold all 0 of stock TMO at 254.320007 because it's been falling for 3 consecutive days. New total is 12096.089087
64,2019-03-12,12096.089087,254.919998,0,12096.089087,"Sold half, 0, of stock TMO at 254.919998 because it's platued for the past 3 days and it has an okay recent history. New total is 12096.089087"
65,2019-03-13,12096.089087,258.869995,0,12096.089087,"Sold half, 0, of stock TMO at 258.869995 because it's platued for the past 3 days and it has an okay recent history. New total is 12096.089087"
66,2019-03-14,70.3094089999995,261.429993,46,12096.089087,Bought 46 of TMO for 261.429993 because it's been growing for the past 3 days. New total is 12096.089087
67,2019-03-15,70.3094089999995,263.089996,46,12172.449224999998,Bought 0 of TMO for 263.089996 because it's been growing for the past 3 days. New total is 12172.449224999998
