,Date,Spending Power,Price,Quantity,Total,Report
0,2018-12-06,52.15600000000086,72.612,137,10000.0,Bought 137 of TSLA for 72.612 because it's been growing for the past 3 days. New total is 10000.0
1,2018-12-07,52.15600000000086,71.594002,137,9860.534274000001,Bought 0 of TSLA for 71.594002 because it's been growing for the past 3 days. New total is 9860.534274000001
2,2018-12-10,5091.225931000001,73.029999,69,10057.265863,"Sold half, 68, of stock TSLA at 73.029999 because it's platued for the past 3 days and it has an okay recent history. New total is 10057.265863"
3,2018-12-11,7658.545826000001,73.351997,35,10152.513724,"Sold half, 34, of stock TSLA at 73.351997 because it's platued for the past 3 days and it has an okay recent history. New total is 10152.513724"
4,2018-12-12,8978.305826000002,73.32,18,10224.745826000002,"Sold half, 17, of stock TSLA at 73.32 because it's platued for the past 3 days and it has an okay recent history. New total is 10224.745826000002"
5,2018-12-13,9656.527844000002,75.358002,9,10334.749862000002,"Sold half, 9, of stock TSLA at 75.358002 because it's platued for the past 3 days and it has an okay recent history. New total is 10334.749862000002"
6,2018-12-14,10022.237834000001,73.141998,5,10314.805826000002,"Sold half, 4, of stock TSLA at 73.141998 because it's platued for the past 3 days and it has an okay recent history. New total is 10314.805826000002"
7,2018-12-17,10231.289828,69.683998,3,10370.657824000002,"Sold half, 2, of stock TSLA at 69.683998 because it's platued for the past 3 days and it has an okay recent history. New total is 10370.657824000002"
8,2018-12-18,10366.101824000001,67.405998,2,10433.507822000001,"Sold half, 1, of stock TSLA at 67.405998 because it's platued for the past 3 days and it has an okay recent history. New total is 10433.507822000001"
9,2018-12-19,10499.289828,66.594002,0,10499.289828,Sold all 2 of stock TSLA at 66.594002 because it's been falling for 3 consecutive days. New total is 10499.289828
10,2018-12-20,10499.289828,63.076,0,10499.289828,Sold all 0 of stock TSLA at 63.076 because it's been falling for 3 consecutive days. New total is 10499.289828
11,2018-12-21,10499.289828,63.953999,0,10499.289828,Sold all 0 of stock TSLA at 63.953999 because it's been falling for 3 consecutive days. New total is 10499.289828
12,2018-12-24,10499.289828,59.077999,0,10499.289828,"Sold all 0, of stock TSLA at 59.077999 because it's platued for the past 3 days, but it has a poor recent history. New total is 10499.289828"
13,2018-12-26,10499.289828,65.218002,0,10499.289828,"Sold all 0, of stock TSLA at 65.218002 because it's platued for the past 3 days, but it has a poor recent history. New total is 10499.289828"
14,2018-12-27,10499.289828,63.226002,0,10499.289828,"Sold all 0, of stock TSLA at 63.226002 because it's platued for the past 3 days, but it has a poor recent history. New total is 10499.289828"
15,2018-12-28,10499.289828,66.774002,0,10499.289828,"Sold half, 0, of stock TSLA at 66.774002 because it's platued for the past 3 days and it has an okay recent history. New total is 10499.289828"
16,2018-12-31,10499.289828,66.559998,0,10499.289828,"Sold half, 0, of stock TSLA at 66.559998 because it's platued for the past 3 days and it has an okay recent history. New total is 10499.289828"
17,2019-01-02,10499.289828,62.023998,0,10499.289828,"Sold all 0, of stock TSLA at 62.023998 because it's platued for the past 3 days, but it has a poor recent history. New total is 10499.289828"
18,2019-01-03,10499.289828,60.071999,0,10499.289828,"Sold all 0, of stock TSLA at 60.071999 because it's platued for the past 3 days, but it has a poor recent history. New total is 10499.289828"
