,Date,Spending Power,Price,Quantity,Total,Report
0,2018-12-06,10000.0,276.850006,0,10000.0,"Sold half, 0, of stock UNH at 276.850006 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
1,2018-12-07,10000.0,269.179993,0,10000.0,"Sold half, 0, of stock UNH at 269.179993 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
2,2018-12-10,10000.0,266.529999,0,10000.0,Sold all 0 of stock UNH at 266.529999 because it's been falling for 3 consecutive days. New total is 10000.0
3,2018-12-11,10000.0,267.220001,0,10000.0,Sold all 0 of stock UNH at 267.220001 because it's been falling for 3 consecutive days. New total is 10000.0
4,2018-12-12,10000.0,270.640015,0,10000.0,"Sold half, 0, of stock UNH at 270.640015 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
5,2018-12-13,10000.0,272.149994,0,10000.0,"Sold half, 0, of stock UNH at 272.149994 because it's platued for the past 3 days and it has an okay recent history. New total is 10000.0"
6,2018-12-14,194.26040699999976,265.019989,37,10000.0,Bought 37 of UNH for 265.019989 because it's been growing for the past 3 days. New total is 10000.0
7,2018-12-17,5097.590539999999,258.070007,19,9742.850665999998,"Sold half, 18, of stock UNH at 258.070007 because it's platued for the past 3 days and it has an okay recent history. New total is 9742.850665999998"
8,2018-12-18,7627.29055,252.970001,10,9904.020559,"Sold half, 9, of stock UNH at 252.970001 because it's platued for the past 3 days and it has an okay recent history. New total is 9904.020559"
9,2018-12-19,10130.39053,250.309998,0,10130.39053,Sold all 10 of stock UNH at 250.309998 because it's been falling for 3 consecutive days. New total is 10130.39053
10,2018-12-20,10130.39053,242.440002,0,10130.39053,Sold all 0 of stock UNH at 242.440002 because it's been falling for 3 consecutive days. New total is 10130.39053
11,2018-12-21,10130.39053,238.339996,0,10130.39053,Sold all 0 of stock UNH at 238.339996 because it's been falling for 3 consecutive days. New total is 10130.39053
12,2018-12-24,10130.39053,232.940002,0,10130.39053,Sold all 0 of stock UNH at 232.940002 because it's been falling for 3 consecutive days. New total is 10130.39053
13,2018-12-26,10130.39053,243.350006,0,10130.39053,Sold all 0 of stock UNH at 243.350006 because it's been falling for 3 consecutive days. New total is 10130.39053
14,2018-12-27,10130.39053,245.970001,0,10130.39053,"Sold all 0, of stock UNH at 245.970001 because it's platued for the past 3 days, but it has a poor recent history. New total is 10130.39053"
15,2018-12-28,10130.39053,246.240005,0,10130.39053,"Sold all 0, of stock UNH at 246.240005 because it's platued for the past 3 days, but it has a poor recent history. New total is 10130.39053"
16,2018-12-31,165.5907300000017,249.119995,40,10130.39053,Bought 40 of UNH for 249.119995 because it's been growing for the past 3 days. New total is 10130.39053
17,2019-01-02,165.5907300000017,243.490005,40,9905.190930000002,Bought 0 of UNH for 243.490005 because it's been growing for the past 3 days. New total is 9905.190930000002
18,2019-01-03,9639.590970000003,236.850006,0,9639.590970000003,"Sold all 0, of stock UNH at 236.850006 because it's platued for the past 3 days, but it has a poor recent history. New total is 9639.590970000003"
19,2019-01-04,9639.590970000003,239.619995,0,9639.590970000003,"Sold all 0, of stock UNH at 239.619995 because it's platued for the past 3 days, but it has a poor recent history. New total is 9639.590970000003"
20,2019-01-07,9639.590970000003,240.080002,0,9639.590970000003,"Sold all 0, of stock UNH at 240.080002 because it's platued for the past 3 days, but it has a poor recent history. New total is 9639.590970000003"
21,2019-01-08,9639.590970000003,243.289993,0,9639.590970000003,"Sold all 0, of stock UNH at 243.289993 because it's platued for the past 3 days, but it has a poor recent history. New total is 9639.590970000003"
22,2019-01-09,137.63100900000245,243.639999,39,9639.590970000003,Bought 39 of UNH for 243.639999 because it's been growing for the past 3 days. New total is 9639.590970000003
23,2019-01-10,137.63100900000245,244.869995,39,9687.560814000002,Bought 0 of UNH for 244.869995 because it's been growing for the past 3 days. New total is 9687.560814000002
24,2019-01-11,137.63100900000245,247.669998,39,9796.760931000003,Bought 0 of UNH for 247.669998 because it's been growing for the past 3 days. New total is 9796.760931000003
25,2019-01-14,137.63100900000245,248.059998,39,9811.970931000003,Bought 0 of UNH for 248.059998 because it's been growing for the past 3 days. New total is 9811.970931000003
26,2019-01-15,137.63100900000245,256.869995,39,10155.560814000002,Bought 0 of UNH for 256.869995 because it's been growing for the past 3 days. New total is 10155.560814000002
27,2019-01-16,137.63100900000245,261.459991,39,10334.570658000002,Bought 0 of UNH for 261.459991 because it's been growing for the past 3 days. New total is 10334.570658000002
28,2019-01-17,137.63100900000245,259.769989,39,10268.660580000003,Bought 0 of UNH for 259.769989 because it's been growing for the past 3 days. New total is 10268.660580000003
29,2019-01-18,5447.631009000002,265.5,20,10492.131009000002,"Sold half, 19, of stock UNH at 265.5 because it's platued for the past 3 days and it has an okay recent history. New total is 10492.131009000002"
