,Date,Spending Power,Price,Quantity,Total,Report
0,2018-12-06,10000.0,78.389999,0,10000.0,"Sold all 0, of stock XOM at 78.389999 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
1,2018-12-07,10000.0,77.639999,0,10000.0,"Sold all 0, of stock XOM at 77.639999 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
2,2018-12-10,10000.0,76.540001,0,10000.0,Sold all 0 of stock XOM at 76.540001 because it's been falling for 3 consecutive days. New total is 10000.0
3,2018-12-11,10000.0,76.68,0,10000.0,Sold all 0 of stock XOM at 76.68 because it's been falling for 3 consecutive days. New total is 10000.0
4,2018-12-12,10000.0,76.019997,0,10000.0,"Sold all 0, of stock XOM at 76.019997 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
5,2018-12-13,10000.0,76.980003,0,10000.0,"Sold all 0, of stock XOM at 76.980003 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
6,2018-12-14,10000.0,75.580002,0,10000.0,"Sold all 0, of stock XOM at 75.580002 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
7,2018-12-17,10000.0,74.040001,0,10000.0,"Sold all 0, of stock XOM at 74.040001 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
8,2018-12-18,10000.0,72.0,0,10000.0,"Sold all 0, of stock XOM at 72.0 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
9,2018-12-19,10000.0,70.779999,0,10000.0,Sold all 0 of stock XOM at 70.779999 because it's been falling for 3 consecutive days. New total is 10000.0
10,2018-12-20,10000.0,68.629997,0,10000.0,Sold all 0 of stock XOM at 68.629997 because it's been falling for 3 consecutive days. New total is 10000.0
11,2018-12-21,10000.0,68.120003,0,10000.0,Sold all 0 of stock XOM at 68.120003 because it's been falling for 3 consecutive days. New total is 10000.0
12,2018-12-24,10000.0,65.510002,0,10000.0,Sold all 0 of stock XOM at 65.510002 because it's been falling for 3 consecutive days. New total is 10000.0
13,2018-12-26,10000.0,68.639999,0,10000.0,Sold all 0 of stock XOM at 68.639999 because it's been falling for 3 consecutive days. New total is 10000.0
14,2018-12-27,10000.0,68.940002,0,10000.0,"Sold all 0, of stock XOM at 68.940002 because it's platued for the past 3 days, but it has a poor recent history. New total is 10000.0"
